,person,track,datetime,X,Y,accuracy,speed,heading,modality,travday,tripnr,stagenr,purfrom,purto,purpose
3088,2420,1166013,2014-07-11 09:55:43,4.96026348318,51.6236138799,10,0.0,-1,2,2014-07-11,3.0,1.0,dagelijkeboodschappen,sociaal,EBIKE
3089,2420,1166013,2014-07-11 09:56:21,4.95799657346,51.6236012213,10,19.3444,307,2,2014-07-11,3.0,1.0,dagelijkeboodschappen,sociaal,EBIKE
3090,2420,1166013,2014-07-11 09:56:46,4.95640680009,51.6242742349,10,19.9632,236,2,2014-07-11,3.0,1.0,dagelijkeboodschappen,sociaal,EBIKE
3091,2420,1166013,2014-07-11 09:57:04,4.95499023456,51.6238458144,10,20.3802,290,2,2014-07-11,3.0,1.0,dagelijkeboodschappen,sociaal,EBIKE
3092,2420,1166013,2014-07-11 09:57:06,4.95486468322,51.6239137537,10,20.1092,333,2,2014-07-11,3.0,1.0,dagelijkeboodschappen,sociaal,EBIKE
3093,2420,1166013,2014-07-11 09:57:16,4.9544233798,51.6243315752,10,20.4938,252,2,2014-07-11,3.0,1.0,dagelijkeboodschappen,sociaal,EBIKE
3094,2420,1166013,2014-07-11 09:57:33,4.95345583249,51.6239925471,10,16.5287,315,2,2014-07-11,3.0,1.0,dagelijkeboodschappen,sociaal,EBIKE
3095,2420,1166013,2014-07-11 09:57:57,4.95173417091,51.6249076346,10,24.2857,307,2,2014-07-11,3.0,1.0,dagelijkeboodschappen,sociaal,EBIKE
3096,2420,1166013,2014-07-11 09:58:19,4.94993126787,51.6258079267,10,26.5667,307,2,2014-07-11,3.0,1.0,dagelijkeboodschappen,sociaal,EBIKE
3097,2420,1166013,2014-07-11 09:58:43,4.94815563428,51.6266441406,10,24.2356,282,2,2014-07-11,3.0,1.0,dagelijkeboodschappen,sociaal,EBIKE
3098,2420,1166013,2014-07-11 09:58:59,4.94676040732,51.6271908768,5,24.5356,310,2,2014-07-11,3.0,1.0,dagelijkeboodschappen,sociaal,EBIKE
3099,2420,1166013,2014-07-11 09:59:05,4.94647995639,51.6274779402,10,19.6367,349,2,2014-07-11,3.0,1.0,dagelijkeboodschappen,sociaal,EBIKE
