,person,track,datetime,X,Y,accuracy,speed,heading,modality,travday,tripnr,stagenr,purfrom,purto,purpose
4899,2420,1481136,2014-09-10 09:39:56,4.92145580454,51.6262039596,10,0.0,-1,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4900,2420,1481136,2014-09-10 09:40:14,4.92187704254,51.625417371,5,19.5259,174,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4901,2420,1481136,2014-09-10 09:40:21,4.92205812559,51.6251157037,10,21.3198,112,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4902,2420,1481136,2014-09-10 09:40:34,4.92317563765,51.625116798,10,19.2237,98,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4903,2420,1481136,2014-09-10 09:40:42,4.92370260982,51.6251155933,10,16.5282,131,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4904,2420,1481136,2014-09-10 09:40:53,4.92445268427,51.6247703955,5,18.3307,124,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4905,2420,1481136,2014-09-10 09:41:08,4.92544145664,51.6242295047,5,19.3567,163,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4906,2420,1481136,2014-09-10 09:41:21,4.92589737821,51.6236961664,10,16.9278,122,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4907,2420,1481136,2014-09-10 09:41:24,4.92609883652,51.6236813675,10,16.7159,82,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4908,2420,1481136,2014-09-10 09:41:50,4.92831931398,51.6239825227,5,19.5083,78,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4909,2420,1481136,2014-09-10 09:42:16,4.93052740247,51.6242645775,5,20.1985,76,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4910,2420,1481136,2014-09-10 09:42:42,4.93267944524,51.6246127346,10,19.8663,79,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4911,2420,1481136,2014-09-10 09:43:07,4.9348927776,51.6247582667,10,20.6123,93,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4912,2420,1481136,2014-09-10 09:43:33,4.93720829003,51.6246816597,10,20.5273,95,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4913,2420,1481136,2014-09-10 09:43:57,4.93938179977,51.6244183505,10,21.3494,104,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4914,2420,1481136,2014-09-10 09:44:01,4.93972531316,51.6244145359,10,21.1686,62,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4915,2420,1481136,2014-09-10 09:44:07,4.94026711626,51.6243842514,10,21.6515,99,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4916,2420,1481136,2014-09-10 09:44:29,4.94223431727,51.6244099373,10,20.7588,60,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4917,2420,1481136,2014-09-10 09:44:33,4.94257027994,51.6244322453,10,20.6412,96,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4918,2420,1481136,2014-09-10 09:44:57,4.94476663061,51.6246026354,10,21.163,88,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4919,2420,1481136,2014-09-10 09:45:15,4.94638652653,51.6247369035,5,20.9571,60,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4920,2420,1481136,2014-09-10 09:45:35,4.94756559163,51.6256100669,5,22.2276,40,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4921,2420,1481136,2014-09-10 09:45:54,4.94867987001,51.6262973484,10,19.9042,108,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4922,2420,1481136,2014-09-10 09:46:02,4.94927789592,51.6260188171,5,20.9455,133,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4923,2420,1481136,2014-09-10 09:46:26,4.95108408783,51.6251461085,5,22.2193,125,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4924,2420,1481136,2014-09-10 09:46:50,4.95283610111,51.6242939655,10,22.1628,133,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4925,2420,1481136,2014-09-10 09:46:56,4.95326449196,51.6240567609,5,22.5216,132,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4926,2420,1481136,2014-09-10 09:47:02,4.95370064829,51.6239127247,5,20.93,79,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4927,2420,1481136,2014-09-10 09:47:05,4.95387301055,51.6239755889,5,19.6629,38,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4928,2420,1481136,2014-09-10 09:47:17,4.95458517423,51.6242862149,5,18.8319,134,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4929,2420,1481136,2014-09-10 09:47:29,4.95516272983,51.6237840846,10,19.5798,94,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4930,2420,1481136,2014-09-10 09:47:32,4.95537097525,51.6238444062,5,19.5885,55,2,2014-09-10,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
4931,2420,1481136,2014-09-10 09:47:51,4.95676847708,51.6242467675,5,20.2074,128,2,,,,,,betaaldwerk
4932,2420,1481136,2014-09-10 09:48:18,4.95847985509,51.6233235087,5,20.2441,126,2,,,,,,betaaldwerk
4933,2420,1481136,2014-09-10 09:48:21,4.95863875865,51.6232966361,5,19.1448,88,2,,,,,,betaaldwerk
4934,2420,1481136,2014-09-10 09:48:24,4.95878394996,51.623379639,10,18.5067,33,2,,,,,,betaaldwerk
4935,2420,1481136,2014-09-10 09:48:26,4.95889158704,51.6234577385,5,18.5795,42,2,,,,,,betaaldwerk
4936,2420,1481136,2014-09-10 09:48:32,4.95927160074,51.6236442756,5,18.5157,84,2,,,,,,betaaldwerk
4937,2420,1481136,2014-09-10 09:48:35,4.95946188916,51.6235868166,5,17.8888,130,2,,,,,,betaaldwerk
4938,2420,1481136,2014-09-10 09:48:44,4.96002568729,51.6234557304,5,16.6439,88,2,,,,,,betaaldwerk
