,person,track,datetime,X,Y,accuracy,speed,heading,modality,travday,tripnr,stagenr,purfrom,purto,purpose
455,2420,334316,2014-01-15 08:21:07,4.92475349422,51.6246180059,50,0.0,-1,2,,,,,,home
456,2420,334316,2014-01-15 08:21:09,4.92464386125,51.6246953388,10,0.0,-1,2,,,,,,home
457,2420,334316,2014-01-15 08:21:31,4.92262842364,51.625209887,10,24.024,273,2,2014-01-15,1.0,1.0,home,betaaldwerk,EBIKE
458,2420,334316,2014-01-15 08:21:41,4.92184789191,51.6253227402,10,19.1908,359,2,2014-01-15,1.0,1.0,home,betaaldwerk,EBIKE
459,2420,334316,2014-01-15 08:21:57,4.92163278832,51.6261502453,10,20.7233,311,2,2014-01-15,1.0,1.0,home,betaaldwerk,EBIKE
460,2420,334316,2014-01-15 08:22:01,4.92118186527,51.6261595298,10,22.2412,257,2,2014-01-15,1.0,1.0,home,betaaldwerk,EBIKE
461,2420,334316,2014-01-15 08:22:23,4.91891064696,51.6260218237,10,22.8589,268,2,2014-01-15,1.0,1.0,home,betaaldwerk,EBIKE
462,2420,334316,2014-01-15 08:22:39,4.91738702773,51.6260270493,10,21.2124,233,2,2014-01-15,1.0,1.0,home,betaaldwerk,EBIKE
463,2420,334316,2014-01-15 08:22:43,4.91719694179,51.6258392454,10,21.8357,199,2,2014-01-15,1.0,1.0,home,betaaldwerk,EBIKE
464,2420,334316,2014-01-15 08:23:09,4.91678702707,51.6244735704,10,21.806,190,2,2014-01-15,1.0,1.0,home,betaaldwerk,EBIKE
465,2420,334316,2014-01-15 08:23:33,4.91619747852,51.6230456226,10,24.2958,195,2,2014-01-15,1.0,1.0,home,betaaldwerk,EBIKE
466,2420,334316,2014-01-15 08:23:51,4.91575210057,51.6217219482,10,25.7492,194,2,2014-01-15,1.0,1.0,home,betaaldwerk,EBIKE
467,2420,334316,2014-01-15 08:24:13,4.91510340554,51.6203673798,10,24.3496,201,2,2014-01-15,1.0,1.0,home,betaaldwerk,EBIKE
468,2420,334316,2014-01-15 08:24:48,4.91423887196,51.6194784054,5,3.77017,189,2,2014-01-15,1.0,1.0,home,betaaldwerk,EBIKE
469,2420,334316,2014-01-15 08:25:29,4.91388879624,51.6192606101,10,21.5803,224,2,2014-01-15,1.0,1.0,home,betaaldwerk,EBIKE
470,2420,334316,2014-01-15 08:25:50,4.91253610187,51.6184384227,10,22.3738,229,2,2014-01-15,1.0,1.0,home,betaaldwerk,EBIKE
471,2420,334316,2014-01-15 08:26:03,4.91200318997,51.6180028724,10,13.8007,197,2,2014-01-15,1.0,1.0,home,betaaldwerk,EBIKE
472,2420,334316,2014-01-15 08:26:06,4.91185467076,51.6179508432,10,14.7945,251,2,2014-01-15,1.0,1.0,home,betaaldwerk,EBIKE
473,2420,334316,2014-01-15 08:26:13,4.91129816237,51.6179968568,10,18.5099,286,2,2014-01-15,1.0,1.0,home,betaaldwerk,EBIKE
474,2420,334316,2014-01-15 08:26:36,4.90911785648,51.6183320261,10,21.2983,281,2,2014-01-15,1.0,1.0,home,betaaldwerk,EBIKE
475,2420,334316,2014-01-15 08:26:58,4.90698689053,51.6186020563,30,20.9653,274,2,2014-01-15,1.0,1.0,home,betaaldwerk,EBIKE
