,person,track,datetime,X,Y,accuracy,speed,heading,modality,travday,tripnr,stagenr,purfrom,purto,purpose
4193,2420,1443899,2014-09-03 16:41:17,4.78996152281,51.5865769561,30,0.0,-1,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4194,2420,1443899,2014-09-03 16:41:20,4.78996152281,51.5865769561,10,0.0,-1,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4195,2420,1443899,2014-09-03 16:41:45,4.79199368826,51.5867362396,10,19.8107,92,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4196,2420,1443899,2014-09-03 16:42:06,4.79427183303,51.5865802377,10,25.0131,91,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4197,2420,1443899,2014-09-03 16:42:32,4.79661519159,51.5865009124,10,17.1056,67,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4198,2420,1443899,2014-09-03 16:42:34,4.79671254363,51.5865886015,10,15.6626,23,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4199,2420,1443899,2014-09-03 16:42:56,4.79756646107,51.5878728859,10,16.1693,15,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4200,2420,1443899,2014-09-03 16:43:04,4.79779417331,51.5880407321,10,15.3781,54,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4201,2420,1443899,2014-09-03 16:43:06,4.7977910316,51.5881338736,10,21.3572,21,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4202,2420,1443899,2014-09-03 16:43:30,4.79784244599,51.5895654494,10,24.9857,359,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4203,2420,1443899,2014-09-03 16:43:50,4.79807165275,51.5909499708,10,23.3316,86,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4204,2420,1443899,2014-09-03 16:44:12,4.8002778905,51.5909657517,10,21.2283,87,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4205,2420,1443899,2014-09-03 16:44:34,4.8023379571,51.5912171931,10,25.1849,45,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4206,2420,1443899,2014-09-03 16:44:56,4.80348697354,51.5924839603,10,24.4134,25,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4207,2420,1443899,2014-09-03 16:45:18,4.80443788116,51.5937858623,10,25.3331,13,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4208,2420,1443899,2014-09-03 16:45:22,4.80471541798,51.5939624425,10,19.3023,50,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4209,2420,1443899,2014-09-03 16:45:44,4.80664967965,51.5947915174,10,23.1016,52,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4210,2420,1443899,2014-09-03 16:46:01,4.80823151229,51.5951366552,10,21.4826,97,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4211,2420,1443899,2014-09-03 16:46:06,4.8086009103,51.5951252948,10,7.13137,53,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4212,2420,1443899,2014-09-03 16:46:20,4.80874771969,51.5952336386,10,15.0706,338,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4213,2420,1443899,2014-09-03 16:46:33,4.80897507438,51.5959717997,10,22.1789,22,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4214,2420,1443899,2014-09-03 16:46:46,4.80955168494,51.5967574145,10,18.3091,29,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4215,2420,1443899,2014-09-03 16:46:51,4.80983472102,51.5969115048,10,19.47,86,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4216,2420,1443899,2014-09-03 16:47:13,4.8120675681,51.5969445461,10,26.2587,86,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4217,2420,1443899,2014-09-03 16:47:35,4.81418424666,51.5973274375,10,20.8035,65,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4218,2420,1443899,2014-09-03 16:47:55,4.81633322396,51.5975265841,10,24.2398,82,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4219,2420,1443899,2014-09-03 16:48:17,4.8184284158,51.5979202819,10,21.0078,64,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4220,2420,1443899,2014-09-03 16:48:19,4.81858306998,51.5978988879,10,18.9295,119,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4221,2420,1443899,2014-09-03 16:48:42,4.82065648268,51.5973890158,10,25.935,90,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4222,2420,1443899,2014-09-03 16:48:55,4.82196641291,51.5975379897,10,18.6228,34,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4223,2420,1443899,2014-09-03 16:49:00,4.82201560014,51.5977925294,10,28.6954,344,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4224,2420,1443899,2014-09-03 16:49:20,4.82096923774,51.599032277,10,23.2206,326,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4225,2420,1443899,2014-09-03 16:49:28,4.82076592914,51.5994622931,10,19.5759,42,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4226,2420,1443899,2014-09-03 16:49:40,4.82156709125,51.5996910416,30,22.6049,86,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4227,2420,1443899,2014-09-03 16:49:45,4.82203183648,51.5997302784,10,25.1361,80,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4228,2420,1443899,2014-09-03 16:49:56,4.8231797637,51.6000508648,10,25.5483,33,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4229,2420,1443899,2014-09-03 16:50:05,4.82333985202,51.6004873733,10,12.4754,351,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4230,2420,1443899,2014-09-03 16:50:07,4.82306690922,51.6005134771,10,26.2188,280,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4231,2420,1443899,2014-09-03 16:50:11,4.82276934903,51.6006682756,10,27.9009,8,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4232,2420,1443899,2014-09-03 16:50:23,4.82332796099,51.6013391372,10,23.4644,60,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4233,2420,1443899,2014-09-03 16:50:27,4.82363977906,51.6015142586,10,25.8279,27,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4234,2420,1443899,2014-09-03 16:50:49,4.82423931483,51.6027500397,10,23.8991,70,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4235,2420,1443899,2014-09-03 16:51:11,4.82656130884,51.602699659,10,25.4004,89,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4236,2420,1443899,2014-09-03 16:51:33,4.82874282812,51.6027238358,10,17.0261,77,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4237,2420,1443899,2014-09-03 16:51:46,4.83013189855,51.6027161378,10,23.0014,86,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4238,2420,1443899,2014-09-03 16:52:08,4.83247224923,51.6027029576,10,22.1502,94,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4239,2420,1443899,2014-09-03 16:52:28,4.83453933449,51.6030517098,10,17.8484,62,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4240,2420,1443899,2014-09-03 16:52:50,4.83652129218,51.6038566962,10,24.8732,54,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4241,2420,1443899,2014-09-03 16:53:12,4.83836122803,51.6046745188,10,24.3284,61,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4242,2420,1443899,2014-09-03 16:53:34,4.83991497262,51.6056549623,10,22.3479,65,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4243,2420,1443899,2014-09-03 16:53:54,4.84169224986,51.6065012454,10,20.2683,42,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4244,2420,1443899,2014-09-03 16:54:16,4.8435020676,51.6073286345,10,23.9855,48,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4245,2420,1443899,2014-09-03 16:54:38,4.84549097868,51.6080935437,10,25.4514,53,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4246,2420,1443899,2014-09-03 16:55:00,4.847314041,51.6088671988,10,26.7875,55,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4247,2420,1443899,2014-09-03 16:55:22,4.84908503588,51.6097446771,10,23.5423,49,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4248,2420,1443899,2014-09-03 16:55:44,4.85092981762,51.610572199,10,25.1498,49,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4249,2420,1443899,2014-09-03 16:56:06,4.85285672972,51.6113370191,10,25.5684,69,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4250,2420,1443899,2014-09-03 16:56:29,4.85494122145,51.6119368646,10,21.417,69,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4251,2420,1443899,2014-09-03 16:56:38,4.85573073563,51.6123814667,10,26.7121,38,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4252,2420,1443899,2014-09-03 16:56:46,4.85622306767,51.6128846708,10,25.069,37,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4253,2420,1443899,2014-09-03 16:57:06,4.85731768734,51.6140494855,10,25.0078,27,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
4254,2420,1443899,2014-09-03 16:57:28,4.85874245836,51.6151951618,10,23.3315,42,2,2014-09-03,2.0,1.0,betaaldwerk,home,EBIKE
