,person,track,datetime,X,Y,accuracy,speed,heading,modality,travday,tripnr,stagenr,purfrom,purto,purpose
4372,2420,1456332,2014-09-05 18:14:19,4.95589372427,51.6241039133,10,0.0,-1,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4373,2420,1456332,2014-09-05 18:14:54,4.95435442314,51.6243432372,5,9.99831,240,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4374,2420,1456332,2014-09-05 18:15:18,4.95357972857,51.6239964109,10,9.78788,326,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4375,2420,1456332,2014-09-05 18:15:30,4.9531529971,51.6241869411,5,10.4476,319,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4376,2420,1456332,2014-09-05 18:15:33,4.95304889576,51.6242345345,10,10.2865,304,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4377,2420,1456332,2014-09-05 18:16:13,4.95128244015,51.6251069038,10,12.3019,301,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4378,2420,1456332,2014-09-05 18:16:50,4.94953775291,51.6259947017,10,14.0928,313,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4379,2420,1456332,2014-09-05 18:17:16,4.94852910325,51.6266472658,10,13.2263,280,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4380,2420,1456332,2014-09-05 18:17:18,4.94838751542,51.62667784,5,13.5165,294,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4381,2420,1456332,2014-09-05 18:17:55,4.94669722408,51.6272417513,10,11.9555,328,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4382,2420,1456332,2014-09-05 18:18:09,4.94633537363,51.6275065253,10,11.789,259,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4383,2420,1456332,2014-09-05 18:18:15,4.94598431212,51.6275331904,10,11.8636,291,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4384,2420,1456332,2014-09-05 18:18:55,4.94414419239,51.6284220118,10,13.3511,305,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4385,2420,1456332,2014-09-05 18:19:51,4.94245759795,51.6293767948,10,5.00154,318,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4386,2420,1456332,2014-09-05 18:20:31,4.94102434346,51.630435889,10,13.0699,315,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4387,2420,1456332,2014-09-05 18:20:33,4.94094123788,51.6304891767,10,13.4378,315,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4388,2420,1456332,2014-09-05 18:20:39,4.94062522359,51.6305361613,10,13.3119,280,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4389,2420,1456332,2014-09-05 18:20:45,4.94032225392,51.6304729694,10,13.1483,233,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4390,2420,1456332,2014-09-05 18:21:23,4.93888304578,51.6294187164,10,13.1435,224,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4391,2420,1456332,2014-09-05 18:21:33,4.93846398307,51.6292732915,10,13.065,276,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4392,2420,1456332,2014-09-05 18:21:37,4.9382969826,51.6293052372,10,12.3654,316,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4393,2420,1456332,2014-09-05 18:21:41,4.93822800625,51.6293850531,5,11.5307,328,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4394,2420,1456332,2014-09-05 18:22:20,4.93665922772,51.6303404121,10,12.8154,306,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4395,2420,1456332,2014-09-05 18:22:58,4.93497638439,51.6313599782,10,13.232,312,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4396,2420,1456332,2014-09-05 18:23:08,4.93453547522,51.6315110467,10,13.2923,252,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4397,2420,1456332,2014-09-05 18:23:38,4.93285012374,51.6312511542,5,13.9075,265,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4398,2420,1456332,2014-09-05 18:24:02,4.93150498494,51.6311167226,10,14.1669,297,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4399,2420,1456332,2014-09-05 18:24:14,4.93077608922,51.6312449444,5,14.9531,289,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4400,2420,1456332,2014-09-05 18:24:50,4.92860598799,51.6316254323,10,15.2634,271,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4401,2420,1456332,2014-09-05 18:25:26,4.92643101377,51.6316957317,10,14.2779,272,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4402,2420,1456332,2014-09-05 18:25:34,4.92594337847,51.6317215411,10,14.2259,272,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4403,2420,1456332,2014-09-05 18:25:41,4.92558353577,51.6317265171,5,13.9101,277,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4404,2420,1456332,2014-09-05 18:25:50,4.92519396527,51.6318572827,10,13.6904,2,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4405,2420,1456332,2014-09-05 18:25:53,4.92515906479,51.6319584093,10,13.7584,329,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4406,2420,1456332,2014-09-05 18:25:56,4.92501699136,51.6320145623,10,13.8677,288,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4407,2420,1456332,2014-09-05 18:26:35,4.92277394503,51.6322757661,10,14.1764,279,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4408,2420,1456332,2014-09-05 18:26:53,4.92176982728,51.6323997689,5,13.8697,291,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4409,2420,1456332,2014-09-05 18:27:31,4.91957424229,51.6326943578,10,12.4076,270,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4410,2420,1456332,2014-09-05 18:27:41,4.91925834105,51.6327727495,10,9.8881,323,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4411,2420,1456332,2014-09-05 18:27:44,4.9192365091,51.6328843399,10,10.3936,11,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4412,2420,1456332,2014-09-05 18:28:15,4.91947906301,51.6338531445,10,11.9135,284,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4413,2420,1456332,2014-09-05 18:28:56,4.91722218313,51.6340646998,10,12.1078,274,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4414,2420,1456332,2014-09-05 18:29:35,4.91509417445,51.6343911171,10,12.8657,295,2,2014-09-05,7.0,1.0,sociaal,sociaal,BIKE
4415,2420,1456332,2014-09-05 18:29:58,4.91418273423,51.6348329381,10,11.5278,5,2,,,,,,sociaal
4416,2420,1456332,2014-09-05 18:30:01,4.91424241305,51.6349387174,10,11.5075,37,2,,,,,,sociaal
4417,2420,1456332,2014-09-05 18:30:35,4.9145785412,51.6351996348,5,0.0,11,2,,,,,,sociaal
