,person,track,datetime,X,Y,accuracy,speed,heading,modality,travday,tripnr,stagenr,purfrom,purto,purpose
6130,2420,1560355,2014-09-22 07:48:32,4.92622960359,51.6236907089,65,0.0,-1,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6131,2420,1560355,2014-09-22 07:48:38,4.92574654345,51.6239090962,30,0.0,-1,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6132,2420,1560355,2014-09-22 07:48:42,4.92574654345,51.6239090962,10,0.0,-1,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6133,2420,1560355,2014-09-22 07:49:03,4.92419841901,51.6249165204,10,21.9547,314,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6134,2420,1560355,2014-09-22 07:49:15,4.92320917737,51.6252510571,10,21.0355,269,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6135,2420,1560355,2014-09-22 07:49:32,4.92190646222,51.6253626199,10,19.4434,359,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6136,2420,1560355,2014-09-22 07:49:48,4.92167523263,51.6261384632,10,21.4522,320,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6137,2420,1560355,2014-09-22 07:49:52,4.92127300941,51.6261796002,10,22.4871,263,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6138,2420,1560355,2014-09-22 07:50:15,4.91904246441,51.6261068174,30,23.2212,252,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6139,2420,1560355,2014-09-22 07:50:16,4.9189476494,51.6261066836,10,23.1679,258,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6140,2420,1560355,2014-09-22 07:50:34,4.91733943195,51.625950107,10,21.2054,208,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6141,2420,1560355,2014-09-22 07:50:56,4.91679758508,51.624638145,10,24.1576,193,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6142,2420,1560355,2014-09-22 07:51:20,4.9163396963,51.6232419532,10,23.4542,195,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6143,2420,1560355,2014-09-22 07:51:40,4.9158213713,51.6218957268,10,23.3384,195,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6144,2420,1560355,2014-09-22 07:52:02,4.9151752239,51.6204750688,10,26.2452,202,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6145,2420,1560355,2014-09-22 07:52:26,4.9138699662,51.6192633247,10,20.0531,222,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6146,2420,1560355,2014-09-22 07:52:52,4.912274371,51.6183109292,10,0.0,230,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6147,2420,1560355,2014-09-22 07:53:06,4.91164450219,51.6179552208,10,10.5151,276,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6148,2420,1560355,2014-09-22 07:53:27,4.91007674948,51.6184059025,10,20.0693,296,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6149,2420,1560355,2014-09-22 07:53:48,4.90785575346,51.6187683786,10,23.6142,288,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6150,2420,1560355,2014-09-22 07:54:09,4.90577343758,51.6191391601,10,23.4588,286,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6151,2420,1560355,2014-09-22 07:54:32,4.90344353091,51.6191962753,10,21.477,269,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6152,2420,1560355,2014-09-22 07:54:37,4.90288896827,51.6193584481,10,27.0358,302,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6153,2420,1560355,2014-09-22 07:54:57,4.90099028988,51.6201184214,10,21.3295,293,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6154,2420,1560355,2014-09-22 07:55:20,4.89893557281,51.620701931,10,20.6483,292,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6155,2420,1560355,2014-09-22 07:55:44,4.89679787632,51.6213041744,10,18.1383,287,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6156,2420,1560355,2014-09-22 07:56:03,4.89482835513,51.6219598547,10,18.1449,278,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6157,2420,1560355,2014-09-22 07:56:05,4.89460756525,51.621911063,10,23.9499,246,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6158,2420,1560355,2014-09-22 07:56:27,4.89243186973,51.6212404812,10,0.0,244,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6159,2420,1560355,2014-09-22 07:56:50,4.89035502449,51.6205341718,10,19.9276,240,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6160,2420,1560355,2014-09-22 07:57:12,4.88827554165,51.6200589907,10,19.5942,240,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6161,2420,1560355,2014-09-22 07:57:34,4.8861417255,51.6195291099,10,19.4902,252,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6162,2420,1560355,2014-09-22 07:57:56,4.88400965563,51.6190564694,10,19.0102,249,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6163,2420,1560355,2014-09-22 07:58:14,4.88211921285,51.6186081582,10,20.4648,293,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6164,2420,1560355,2014-09-22 07:58:22,4.8813363975,51.618682062,10,25.4421,258,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6165,2420,1560355,2014-09-22 07:58:28,4.88090841189,51.6185013272,10,20.9178,234,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6166,2420,1560355,2014-09-22 07:58:45,4.87951944522,51.6180047584,10,24.362,272,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6167,2420,1560355,2014-09-22 07:58:47,4.87935083653,51.6181049664,10,23.6479,318,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6168,2420,1560355,2014-09-22 07:59:03,4.87833904473,51.618822657,10,20.4445,275,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6169,2420,1560355,2014-09-22 07:59:25,4.87619331228,51.618282874,10,22.5679,249,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6170,2420,1560355,2014-09-22 07:59:47,4.87403678342,51.6177151258,10,18.7991,247,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6171,2420,1560355,2014-09-22 08:00:09,4.8720320355,51.6171900162,10,25.2401,248,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6172,2420,1560355,2014-09-22 08:00:31,4.86986959366,51.6165711683,10,24.0115,251,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6173,2420,1560355,2014-09-22 08:00:53,4.86779383783,51.6158837638,10,23.296,246,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6174,2420,1560355,2014-09-22 08:01:15,4.86578760975,51.6152409927,10,14.9059,241,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6175,2420,1560355,2014-09-22 08:01:37,4.86375312489,51.6146735593,10,20.9289,247,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6176,2420,1560355,2014-09-22 08:01:56,4.86174472845,51.6141377656,10,22.1239,242,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6177,2420,1560355,2014-09-22 08:02:18,4.8597426644,51.6135620562,10,18.3518,245,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6178,2420,1560355,2014-09-22 08:02:35,4.85830330087,51.613203439,10,10.7407,307,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6179,2420,1560355,2014-09-22 08:02:39,4.8582632621,51.6133244163,10,17.5288,22,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
6180,2420,1560355,2014-09-22 08:03:04,4.85925796962,51.6146281555,10,21.5705,40,2,2014-09-22,1.0,1.0,home,recreatie,EBIKE
