,person,track,datetime,X,Y,accuracy,speed,heading,modality,travday,tripnr,stagenr,purfrom,purto,purpose
3440,2420,1201094,2014-07-17 13:50:29,4.94103960695,51.6244960533,10,0.72,3,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3441,2420,1201094,2014-07-17 13:53:01,4.94114695645,51.624344622,5,0.378762,118,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3442,2420,1201094,2014-07-17 13:53:30,4.94244621278,51.6244032244,10,13.4869,79,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3443,2420,1201094,2014-07-17 13:53:58,4.94469435152,51.6245456077,10,15.0113,80,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3444,2420,1201094,2014-07-17 13:54:16,4.94624786259,51.6247004271,5,17.5141,69,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3445,2420,1201094,2014-07-17 13:54:24,4.94687691042,51.6249765804,5,19.9702,38,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3446,2420,1201094,2014-07-17 13:54:48,4.94832051032,51.6260952748,10,21.1395,35,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3447,2420,1201094,2014-07-17 13:54:52,4.948546415,51.6262422595,10,17.3944,67,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3448,2420,1201094,2014-07-17 13:54:55,4.9487383014,51.6262266831,10,19.4426,108,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3449,2420,1201094,2014-07-17 13:55:10,4.94975152078,51.6256811953,5,20.3243,128,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3450,2420,1201094,2014-07-17 13:55:34,4.95153643224,51.6248773283,10,18.932,131,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3451,2420,1201094,2014-07-17 13:55:42,4.95214608745,51.6245961793,5,21.0604,128,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3452,2420,1201094,2014-07-17 13:56:05,4.95362633834,51.623863356,10,15.8783,52,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3453,2420,1201094,2014-07-17 13:56:20,4.95457123057,51.6242954523,10,19.0963,143,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3454,2420,1201094,2014-07-17 13:56:26,4.95482495309,51.6239619405,5,23.2418,151,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3455,2420,1201094,2014-07-17 13:56:30,4.95501127739,51.6237851315,5,20.6178,112,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3456,2420,1201094,2014-07-17 13:56:32,4.95518739306,51.6238082306,5,17.9452,62,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3457,2420,1201094,2014-07-17 13:56:51,4.95669384234,51.6242482331,10,17.7219,118,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3458,2420,1201094,2014-07-17 13:56:54,4.95683502867,51.6241527584,5,18.6634,144,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3459,2420,1201094,2014-07-17 13:57:25,4.95854009807,51.6233051952,10,15.3933,69,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3460,2420,1201094,2014-07-17 13:57:33,4.95911949458,51.6235883585,5,18.8416,43,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3461,2420,1201094,2014-07-17 13:57:35,4.95926124746,51.6236115203,5,17.2809,86,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3462,2420,1201094,2014-07-17 13:57:38,4.95940214995,51.6235696166,10,14.723,134,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3463,2420,1201094,2014-07-17 13:57:45,4.95967695514,51.6234409325,5,12.7925,112,2,2014-07-17,6.0,1.0,dagelijkeboodschappen,home,EBIKE
3464,2420,1201094,2014-07-17 13:57:50,4.9600108718,51.6234327257,5,10.5006,72,2,,,,,,home
3465,2420,1201094,2014-07-17 13:57:56,4.96012229408,51.6235153895,10,5.84954,357,2,,,,,,home
3466,2420,1201094,2014-07-17 13:58:31,4.96018992327,51.6234340708,10,0.0,357,2,,,,,,home
