,person,track,datetime,X,Y,accuracy,speed,heading,modality,travday,tripnr,stagenr,purfrom,purto,purpose
4418,2420,1456331,2014-09-05 23:18:09,4.92245797489,51.632258353,10,0.0,-1,2,,,,,,sociaal
4419,2420,1456331,2014-09-05 23:18:46,4.92464773942,51.6320100596,10,12.0381,96,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4420,2420,1456331,2014-09-05 23:18:55,4.92512106347,51.6319277819,10,11.8372,149,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4421,2420,1456331,2014-09-05 23:18:58,4.92513808443,51.6318277017,10,11.6752,184,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4422,2420,1456331,2014-09-05 23:19:02,4.92521936137,51.6317412176,5,11.5844,131,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4423,2420,1456331,2014-09-05 23:19:06,4.92539517255,51.6316959891,10,11.1478,95,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4424,2420,1456331,2014-09-05 23:19:46,4.92756388598,51.6315996784,10,12.7516,88,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4425,2420,1456331,2014-09-05 23:20:28,4.92987157448,51.6313409653,10,12.2868,113,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4426,2420,1456331,2014-09-05 23:21:06,4.93191217565,51.6310696623,10,11.1147,79,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4427,2420,1456331,2014-09-05 23:21:42,4.9341103558,51.6313226858,10,14.0353,70,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4428,2420,1456331,2014-09-05 23:21:56,4.93475648822,51.6313821645,10,11.2117,121,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4429,2420,1456331,2014-09-05 23:22:17,4.93564570313,51.6308648918,10,13.6295,154,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4430,2420,1456331,2014-09-05 23:22:29,4.9361524538,51.6305616153,10,14.1683,120,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4431,2420,1456331,2014-09-05 23:22:51,4.93707303818,51.6300974026,10,14.0555,133,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4432,2420,1456331,2014-09-05 23:23:22,4.9381995035,51.6293777621,5,11.0787,180,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4433,2420,1456331,2014-09-05 23:23:31,4.93828136806,51.6292122514,5,9.59066,104,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4434,2420,1456331,2014-09-05 23:23:42,4.93874244524,51.6292361653,10,11.0831,37,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4435,2420,1456331,2014-09-05 23:24:16,4.94018326845,51.6302492206,10,14.1572,49,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4436,2420,1456331,2014-09-05 23:24:28,4.94080051135,51.6303726133,10,12.4657,100,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4437,2420,1456331,2014-09-05 23:24:34,4.94110334744,51.6302364315,10,13.3231,132,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4438,2420,1456331,2014-09-05 23:24:40,4.94134432065,51.6300755148,5,13.9177,135,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4439,2420,1456331,2014-09-05 23:25:19,4.94279777722,51.6290148913,5,14.0016,137,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4440,2420,1456331,2014-09-05 23:25:58,4.94453136058,51.6281825099,10,13.4201,131,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4441,2420,1456331,2014-09-05 23:26:28,4.94585186987,51.6275208511,5,13.4998,127,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4442,2420,1456331,2014-09-05 23:27:07,4.9476542259,51.6267037807,10,13.9765,119,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4443,2420,1456331,2014-09-05 23:27:22,4.94825677955,51.6263775582,5,13.2556,161,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4444,2420,1456331,2014-09-05 23:27:28,4.94851499636,51.6262799245,5,12.9592,90,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4445,2420,1456331,2014-09-05 23:27:37,4.94897767315,51.6261809985,10,12.551,125,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4446,2420,1456331,2014-09-05 23:27:47,4.94934579439,51.6259656367,5,12.6547,131,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4447,2420,1456331,2014-09-05 23:27:51,4.94953335452,51.6258750397,5,13.0404,124,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4448,2420,1456331,2014-09-05 23:28:34,4.95140695394,51.6250157452,5,12.8908,126,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4449,2420,1456331,2014-09-05 23:29:17,4.95315246935,51.6241078844,5,12.749,128,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4450,2420,1456331,2014-09-05 23:29:33,4.95364274823,51.623885648,5,10.1158,59,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4451,2420,1456331,2014-09-05 23:29:58,4.95458166893,51.6242718352,10,11.4919,141,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4452,2420,1456331,2014-09-05 23:30:04,4.95476295673,51.6240913941,5,13.0029,149,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4453,2420,1456331,2014-09-05 23:30:17,4.95516210086,51.6237822278,10,12.2877,79,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4454,2420,1456331,2014-09-05 23:30:23,4.95545890373,51.6238792648,5,12.6327,64,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4455,2420,1456331,2014-09-05 23:30:49,4.95662254834,51.6242587297,10,12.4533,100,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4456,2420,1456331,2014-09-05 23:30:55,4.9568771516,51.624138395,5,12.8341,130,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4457,2420,1456331,2014-09-05 23:31:42,4.95861289459,51.6233159928,5,11.1848,88,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4458,2420,1456331,2014-09-05 23:31:46,4.95873623153,51.6233821381,5,11.1528,28,2,2014-09-05,8.0,1.0,sociaal,home,BIKE
4459,2420,1456331,2014-09-05 23:32:00,4.95921634332,51.6236477868,10,11.1558,102,2,,,,,,home
4460,2420,1456331,2014-09-05 23:32:23,4.96009112121,51.6235148256,10,9.12537,9,2,,,,,,home
4461,2420,1456331,2014-09-05 23:32:57,4.96008761502,51.6235421141,10,0.0,309,2,,,,,,home
