,person,track,datetime,X,Y,accuracy,speed,heading,modality,travday,tripnr,stagenr,purfrom,purto,purpose
5890,2420,1535571,2014-09-18 09:59:38,4.9499720542,51.6257729307,50,0.0,-1,2,2014-09-18,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
5891,2420,1535571,2014-09-18 10:00:04,4.953294215,51.624213267,30,0.0,-1,2,2014-09-18,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
5892,2420,1535571,2014-09-18 10:00:12,4.95380959226,51.6240879938,10,18.0,-1,2,2014-09-18,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
5893,2420,1535571,2014-09-18 10:00:33,4.95581768317,51.6247504785,10,20.7576,57,2,2014-09-18,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
5894,2420,1535571,2014-09-18 10:00:42,4.95647927248,51.6247624644,10,21.6046,106,2,2014-09-18,2.0,1.0,dagelijkeboodschappen,betaaldwerk,EBIKE
5895,2420,1535571,2014-09-18 10:00:55,4.95711245876,51.6242390965,10,10.3174,140,2,,,,,,betaaldwerk
5896,2420,1535571,2014-09-18 10:01:14,4.95834834883,51.6234720877,10,16.5782,66,2,,,,,,betaaldwerk
5897,2420,1535571,2014-09-18 10:01:41,4.96011722065,51.623735675,10,0.0,26,2,,,,,,betaaldwerk
